Platform,Space,Data Point,MCL UI,MCL API,Brandwatch
Facebook,Public Profiles,Username,Y,N,Y
Facebook,Public Profiles,User ID,Y,N,Y
Facebook,Public Profiles,Creation Time,N,N,Y
Facebook,Public Profiles,If Branded Content,N,N,N
Facebook,Public Profiles,Post's text,Y,N,Y
Facebook,Public Profiles,Post's image,Y,N,Y
Facebook,Public Profiles,Post's video,Y,N,Y
Facebook,Public Profiles,Post's audio,N,N,N
Facebook,Public Profiles,# of Views,N,N,N
Facebook,Public Profiles,# of Reactions,Y,N,Y
Facebook,Public Profiles,# of Shares,Y,N,Y
Facebook,Public Profiles,# of Comments,Y,N,Y
Facebook,Public Profiles,# of Followers,N,N,Y
Facebook,Public Profiles,# of Members,N/A,N/A,N
Facebook,Public Profiles,URL of post,Y,N,Y
Facebook,Public Profiles,Link in post,Y,N,Y
Facebook,Public Profiles,Domain in post,Y,N,Y
Facebook,Public Profiles,Comments,Y,N,Y
Facebook,Public Profiles,Historical Data,Y,N,Y
Facebook,Public Profiles,Real-time Data,Y,N,Y
Facebook,Public Profiles,Language,Y,N,Y
Facebook,Public Profiles,Geolocation (user),N,N,N
Facebook,Public Groups,Username,Y,Y,Y
Facebook,Public Groups,User ID,Y,Y,Y
Facebook,Public Groups,Creation Time,N,N,Y
Facebook,Public Groups,If Branded Content,N,N,N
Facebook,Public Groups,Post's text,Y,Y,Y
Facebook,Public Groups,Post's image,Y,Y,Y
Facebook,Public Groups,Post's video,Y,Y,Y
Facebook,Public Groups,Post's audio,N,N,N
Facebook,Public Groups,# of Views,N,N,N
Facebook,Public Groups,# of Reactions,Y,Y,Y
Facebook,Public Groups,# of Shares,Y,Y,Y
Facebook,Public Groups,# of Comments,Y,Y,Y
Facebook,Public Groups,# of Followers,N/A,N/A,Y
Facebook,Public Groups,# of Members,Y,Y,N
Facebook,Public Groups,URL of post,Y,Y,Y
Facebook,Public Groups,Link in post,Y,Y,Y
Facebook,Public Groups,Domain in post,Y,Y,Y
Facebook,Public Groups,Comments,Y,Y,Y
Facebook,Public Groups,Historical Data,Y,Y,Y
Facebook,Public Groups,Real-time Data,Y,Y,Y
Facebook,Public Groups,Language,Y,Y,Y
Facebook,Public Groups,Geolocation (user),N,N,N
Instagram,Business/Creator Account,Username,Y,Y,Y
Instagram,Business/Creator Account,User ID,Y,Y,Y
Instagram,Business/Creator Account,Creation Time,N,N,Y
Instagram,Business/Creator Account,If Branded Content,Y,Y,N
Instagram,Business/Creator Account,Post's text,Y,Y,Y
